Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),Phasor-9 Name(upto 16-char),Phasor-9 Type(v/c),Phasor-9 PHNMR(scaling),
Configuration Field Inputs,50,50,9,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,I9,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Phasor-9 Magnitude,Phasor-9 Angle,Frequency,ROCOF,
 ,21.82,0.974166653382,95.9851838679,0.276619122372,-160.512135738,0.269793380675,-174.798911704,0.269793380675,-174.798911704,0.876454902327,-98.2639622706,0.822904447264,94.2702787092,1.55858095798,-93.2182167205,1.55858095798,-93.2182167205,0.420477987199,-103.128810736,49.5079241308,0.0164828017774,
 ,21.84,0.974763654127,100.048158858,0.276742730713,-154.056344901,0.277630970994,-172.570027503,0.277630970994,-172.570027503,0.875742432968,-94.0393680399,0.81663674657,98.2018995911,1.559481262,-89.0400047043,1.559481262,-89.0400047043,0.420041047487,-98.9173894688,49.5063909514,0.0136264624357,
 ,21.86,0.975286955264,104.078123859,0.277391700828,-147.494489104,0.285280865744,-170.298298719,0.285280865744,-170.298298719,0.874710670334,-89.8727320566,0.809955873773,102.09696749,1.56014693693,-84.9067720706,1.56014693693,-84.9067720706,0.419472434122,-94.7647202026,49.5052217212,0.0107437521272,
 ,21.88,0.975737287883,108.067379782,0.278645151155,-140.869833743,0.292671149463,-167.980151939,0.292671149463,-167.980151939,0.873359697397,-85.7729110658,0.802948563652,105.948980584,1.56056070581,-80.8266637192,1.56056070581,-80.8266637192,0.418773117492,-90.6796573633,49.5044190604,0.00783833845872,
 ,21.9,0.976116910017,112.008568449,0.280555859897,-134.231154383,0.299727798948,-165.612346028,0.299727798948,-165.612346028,0.871690956112,-81.7482523209,0.795711492994,109.751912906,1.56071362473,-76.8071860423,1.56071362473,-76.8071860423,0.417944586225,-86.6705505636,49.5039851004,0.00491408169875,
 ,21.92,0.976429201993,115.894734035,0.283143148016,-127.630647659,0.306374603724,-163.191947275,0.306374603724,-163.191947275,0.869707422633,-77.806529929,0.788348667219,113.50027037,1.56060482677,-72.8551950631,1.56060482677,-72.8551950631,0.416988919123,-82.7451769007,49.5039213289,0.00197571457085,
 ,21.94,0.976678276033,119.719381938,0.28638838282,-121.121283419,0.312533266591,-160.716197699,0.312533266591,-160.716197699,0.867413625981,-73.9548857274,0.780968542659,117.189139683,1.56024024618,-68.9768993543,1.56024024618,-68.9768993543,0.415908786884,-78.9106788184,49.5042283954,-0.000970721265874,
 ,21.96,0.97686864663,123.476535043,0.29023403193,-114.753987228,0.318123816517,-158.182280647,0.318123816517,-158.182280647,0.864815423127,-70.1997688726,0.77368101607,120.814231662,1.55963047071,-65.1778684485,1.55963047071,-65.1778684485,0.414707339567,-75.1735027802,49.5049059046,-0.00391766178441,
 ,21.98,0.977004989639,127.160786874,0.294586628503,-108.575106658,0.323065494887,-155.586997591,0.323065494887,-155.586997591,0.861919491962,-66.5468657817,0.766594436449,124.371921178,1.5587880027,-61.4630377146,1.5587880027,-61.4630377146,0.413387955856,-71.539331175,49.5059522126,-0.00685596152668,
 ,22.0,0.977091995241,130.767350494,0.299323292232,-102.624553471,0.327278283301,-152.926383127,0.327278283301,-152.926383127,0.858732606294,-63.0010118219,0.759812818783,127.859285507,1.5577243267,-57.8367025301,1.5577243267,-57.8367025301,0.41195387693,-68.0129989227,49.5073642301,-0.00977490604268,
 ,22.02,0.977134297248,134.292101639,0.304300777422,-96.9348467705,0.33068520895,-150.195299469,0.33068520895,-150.195299469,0.855260888218,-59.566079945,0.7534334538,131.274140689,1.55644726049,-54.3024981505,1.55644726049,-54.3024981505,0.410407810936,-64.5983889688,49.5091372291,-0.0126622288271,
 ,22.04,0.977136442431,137.731614456,0.309365576622,-91.5310691187,0.333215476545,-147.387063545,0.333215476545,-147.387063545,0.851509343389,-56.2448499005,0.747545094679,134.615071556,1.55495907522,-50.8633666806,1.55495907522,-50.8633666806,0.408751650915,-61.2983081672,49.5112646454,-0.0155040996378,
 ,22.06,0.977102852567,141.083188606,0.314363516794,-86.4315577135,0.334808332649,-144.493164825,0.334808332649,-144.493164825,0.847482015164,-53.0388733211,0.742226845242,137.88144639,1.55325578121,-47.5215180421,1.55325578121,-47.5215180421,0.406986471694,-58.1143559312,49.5137378758,-0.0182850882989,
 ,22.08,0.977037732123,144.34486744,0.319147565133,-81.6490352765,0.335417392101,-141.503126736,0.335417392101,-141.503126736,0.843183004335,-49.9483612064,0.737547769878,141.073403695,1.55132778256,-44.2783961838,1.55132778256,-44.2783961838,0.405112938363,-55.0468092573,49.5165460711,-0.0209881360505,
 ,22.1,0.976944887929,147.51544817,0.323583129011,-77.1918573154,0.335014994076,-138.40454834,0.335014994076,-138.40454834,0.83861839569,-46.9721263327,0.73356710925,144.191798716,1.54916183385,-41.1346631565,1.54916183385,-41.1346631565,0.403132168688,-52.0945546722,49.5196759354,-0.0235945783724,
 ,22.12,0.976827452802,150.594486235,0.327550823551,-73.0651026497,0.333596062713,-135.183339316,0.333596062713,-135.183339316,0.83379886658,-44.1076099741,0.73033485324,147.238102651,1.54674395369,-38.0902109015,1.54674395369,-38.0902109015,0.401046966872,-49.2550962515,49.5231115439,-0.0260842583168,
 ,22.14,0.976687537483,153.582296722,0.330947290123,-69.2713343675,0.331180963367,-131.824136631,0.331180963367,-131.824136631,0.828742515569,-41.3510091398,0.72789233762,150.214257661,1.54406274398,-35.1442039023,1.54406274398,-35.1442039023,0.398863227227,-46.5246577383,49.5268341973,-0.028435751798,
 ,22.16,0.976525865724,156.479955603,0.333685007656,-65.810974653,0.32781697111,-128.310872775,0.32781697111,-128.310872775,0.82347732582,-38.6975003673,0.72627252807,153.122503361,1.54111249717,-32.2951471038,1.54111249717,-32.2951471038,0.396591234775,-43.8983783854,49.5308223241,-0.0306267024377,
 ,22.18,0.976341466473,159.289302542,0.335692063163,-62.6823380009,0.323578162944,-124.627457961,0.323578162944,-124.627457961,0.81804271037,-36.141534872,0.725499742652,155.965201471,1.53789556432,-29.5409655667,1.53789556432,-29.5409655667,0.394246589546,-41.3705818822,49.5350514421,-0.0326342402325,
 ,22.2,0.976131498277,162.012945388,0.336912573294,-59.881431755,0.318563745394,-120.758542351,0.318563745394,-120.758542351,0.812489757931,-33.6771638531,0.725588719751,158.744690856,1.5344236679,-26.8790778491,1.5344236679,-26.8790778491,0.391850548962,-38.9350817298,49.5394941799,-0.0344354411176,
